ID,Gender,Age,Politics,Birthplace Info,Education,Nationality,Marital Status,Household Form,Children Info,Area,Topics,Votes
178037,1,41,1,2,1,2,2,2,2,0,"['2', '4', '5']","['04', '13', '15', '28']"
53081195,1,29,3,2,4,2,2,2,2,2,"['2', '4', '7']","['12', '15', '21', '25', '33']"
207045,1,27,0,2,4,1,2,2,2,7,"['1', '4', '6']","['03', '04', '10', '11', '12', '15', '21', '28', '29', '30']"
38191,2,69,4,2,4,1,1,2,2,3,"['1', '4', '6']","['15', '21', '33']"
178099,2,38,2,2,4,2,2,2,2,0,"['3', '4', '5']","['04', '12', '13', '15']"
186213,2,38,1,2,4,1,2,3,1,3,"['1', '3', '6']","['12', '13', '24', '29', '33']"
50540651,2,51,2,1,4,1,2,1,2,9,"['4', '6', '9']","['10', '13', '15', '21']"
50528480,1,28,3,2,4,1,2,1,2,1,"['1', '5', '6']","['02', '14', '15', '21', '32']"
40613,2,51,3,2,4,1,2,1,2,5,"['1', '4', '7']","['04', '13', '21', '31', '32']"
33517,2,72,0,1,4,1,2,3,1,8,"['4', '5', '6']","['04', '28', '29']"
50541316,2,25,1,2,4,1,2,2,2,8,"['2', '4', '6']","['04', '12', '13', '15', '21', '24', '25', '29', '30']"
206085,2,48,3,2,4,1,1,3,1,0,"['1', '3', '7']","['03', '11', '33']"
122468,2,68,7,2,4,1,1,2,1,3,"['1', '5', '9']","['22', '29', '32']"
50528152,1,31,2,2,4,1,2,1,2,9,"['2', '6', '7']","['04', '10', '21', '28', '29']"
12154,1,71,5,2,3,1,1,2,1,4,"['1', '5', '7']","['04', '06', '14', '17', '30']"
50541819,1,68,4,2,4,1,2,2,1,5,"['1', '4', '6']","['02', '03', '25']"
